image,fever,appetite,lesions,swelling,milk_change,lameness,discharge,behavior,disease
Lumpuy/LSD_001sm.jpg,high,low,skin,yes,drop,no,yes,lethargic,LSD
Lumpuy/LSD_002.jpg,high,low,skin,yes,drop,no,yes,lethargic,LSD
Lumpuy/LSD_003.jpg,high,low,skin,yes,drop,no,yes,lethargic,LSD
Lumpuy/LSD_004sm.jpg,high,low,skin,yes,drop,no,yes,lethargic,LSD
Lumpuy/LSD_005sm.jpg,high,low,skin,yes,drop,no,yes,lethargic,LSD
Lumpuy/LSD_006sm.jpg,high,low,skin,yes,drop,no,yes,lethargic,LSD
Lumpuy/LSD_007sm.jpg,high,low,skin,yes,drop,no,yes,lethargic,LSD
Lumpuy/LSD_008sm.jpg,high,low,skin,yes,drop,no,yes,lethargic,LSD
Lumpuy/LSD_009sm.jpg,high,low,skin,yes,drop,no,yes,lethargic,LSD
Lumpuy/LSD_010sm.jpg,high,low,skin,yes,drop,no,yes,lethargic,LSD
Lumpuy/LSD_011sm.jpg,high,low,skin,yes,drop,no,yes,lethargic,LSD
Lumpuy/LSD_012sm.jpg,high,low,skin,yes,drop,no,yes,lethargic,LSD
Lumpuy/LSD_013sm.jpg,high,low,skin,yes,drop,no,yes,lethargic,LSD
Malignant Catarrhal Fever/MCF_001sm.jpg,high,low,eye+mouth,yes,drop,no,yes,depressed,MCF
Malignant Catarrhal Fever/MCF_002sm.jpg,high,low,eye+mouth,yes,drop,no,yes,depressed,MCF
Malignant Catarrhal Fever/MCF_003sm.jpg,high,low,eye+mouth,yes,drop,no,yes,depressed,MCF
Malignant Catarrhal Fever/MCF_004sm.jpg,high,low,eye+mouth,yes,drop,no,yes,depressed,MCF
Malignant Catarrhal Fever/MCF_005sm.jpg,high,low,eye+mouth,yes,drop,no,yes,depressed,MCF
Malignant Catarrhal Fever/MCF_006sm.jpg,high,low,eye+mouth,yes,drop,no,yes,depressed,MCF
mastitis/001_30_IMG_gro174291-009-848x565.jpg,mild,slight,udder,yes,abnormal,no,no,pain,Mastitis
mastitis/23.jpeg,mild,slight,udder,yes,abnormal,no,no,pain,Mastitis
mastitis/26.jpeg,mild,slight,udder,yes,abnormal,no,no,pain,Mastitis
mastitis/27.jpeg,mild,slight,udder,yes,abnormal,no,no,pain,Mastitis
mastitis/6.jpeg,mild,slight,udder,yes,abnormal,no,no,pain,Mastitis
mastitis/7.jpeg,mild,slight,udder,yes,abnormal,no,no,pain,Mastitis
mastitis/8.jpeg,mild,slight,udder,yes,abnormal,no,no,pain,Mastitis
mastitis/Base-ringing-400x284.jpg,mild,slight,udder,yes,abnormal,no,no,pain,Mastitis
mastitis/Burnt-teat-e1515283231199-400x284.jpg,mild,slight,udder,yes,abnormal,no,no,pain,Mastitis
mastitis/Chemcial-burn-e1515283477137-400x284.jpg,mild,slight,udder,yes,abnormal,no,no,pain,Mastitis
mastitis/Chemcial-burn3-e1515283623745-400x284.jpg,mild,slight,udder,yes,abnormal,no,no,pain,Mastitis
mastitis/Chemcial-burn4-e1515283733588-400x284.jpg,mild,slight,udder,yes,abnormal,no,no,pain,Mastitis
mastitis/Chemical-burn-6-400x284.jpg,mild,slight,udder,yes,abnormal,no,no,pain,Mastitis
