image,fever,appetite,lesions,swelling,milk_change,lameness,discharge,behavior,disease
Malignant Catarrhal Fever/MCF_001sm.jpg,high,low,eye+mouth,yes,drop,no,yes,depressed,MCF
Malignant Catarrhal Fever/MCF_002sm.jpg,high,low,eye+mouth,yes,drop,no,yes,depressed,MCF
Malignant Catarrhal Fever/MCF_003sm.jpg,high,low,eye+mouth,yes,drop,no,yes,depressed,MCF
Malignant Catarrhal Fever/MCF_004sm.jpg,high,low,eye+mouth,yes,drop,no,yes,depressed,MCF
Malignant Catarrhal Fever/MCF_005sm.jpg,high,low,eye+mouth,yes,drop,no,yes,depressed,MCF
Malignant Catarrhal Fever/MCF_006sm.jpg,high,low,eye+mouth,yes,drop,no,yes,depressed,MCF
mastitis/001_30_IMG_gro174291-009-848x565.jpg,mild,slight,udder,yes,abnormal,no,no,pain,Mastitis
mastitis/23.jpeg,mild,slight,udder,yes,abnormal,no,no,pain,Mastitis
mastitis/26.jpeg,mild,slight,udder,yes,abnormal,no,no,pain,Mastitis
mastitis/27.jpeg,mild,slight,udder,yes,abnormal,no,no,pain,Mastitis
mastitis/6.jpeg,mild,slight,udder,yes,abnormal,no,no,pain,Mastitis
mastitis/7.jpeg,mild,slight,udder,yes,abnormal,no,no,pain,Mastitis
mastitis/8.jpeg,mild,slight,udder,yes,abnormal,no,no,pain,Mastitis
Foot and mouth/mosap-73-_jpg.rf.1c629215c5764e8aa0141e4ffac1d5ac.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/mosap-74-_jpg.rf.e2a55c8563666038937b50d198d78e38.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/mosap-75-_jpg.rf.43f661ed996d8026e0c050d9c51fe0e9.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/mosap-76-_jpg.rf.094dc74292b0656a0a11ff7cba937396.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/mosap-77-_jpg.rf.7c645bf11d99767b0c99fa81352c4137.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/mosap-78-_jpg.rf.1f3a2b943b29d05c7cf627058db1f4d8.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/mosap-79-_jpg.rf.42ec91845be481f5cdebb16bf545acd0.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/mosap-8-_jpg.rf.35f5ca1f2417b27e4cfa67d5e9f12b03.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/mosap-80-_jpg.rf.120fa1e47e9184944a0905372d7f9ebb.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/mosap-81-_jpg.rf.b9ce34e5e2ed0cf331c67fff58cdda26.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/mosap-82-_jpg.rf.b9e653c88ef7fca37a332290c64b1de0.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/mosap-84-_jpg.rf.532e7fb88044dab552196b43ef58254c.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/mosap-85-_jpg.rf.f2cc00a67712e759f6dfa2d8021874fe.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/mosap-86-_jpg.rf.42b1a3db625512655d831d8627939fc4.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/mosap-87-_jpg.rf.ec217e134a7ef1a35106c28f80817977.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/mosap-88-_jpg.rf.b4bdcfb48dd74acbe3bd0bde1d9e66f2.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/mosap-89-_jpg.rf.c846277f82a4e2f0cc56872855b40dc2.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/mosap-90-_jpg.rf.084048b7c0c703da851b5f03b4d3b72a.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/mosap-92-_jpg.rf.edf744788665d6e58c2282ea707e4784.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/pigf 10d-1WM-1.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/pigf 10d-2WM-1.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/pigf 10d-3WM-1.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/pigf 10d-4WM-1.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/pigf 10d-5WM-1.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/pigf 10d-6WM-1.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
